str_no_string|NO STRING!{***}
str_military_ranks_info|Midshipman:^Can hire colonial soldiers.^Can purchase light ships.^^Lieutenant:^Can purchase medium ships, up to rank 2.^Can have 1 letter of marquee.^Can purchase 12-pounder naval artillery.^Can upgrade vessels.^Can join a faction.^^Captain Lieutenant:^Can hire regular soldiers.^Can purchase warships, up to rank 2.^Can purchase 16-pounder naval artillery.^Can attack and plunder cities.^^Captain:^Can purchase warships, up to rank 3.^Can have up to 2 letters of marquee.^Can purchase 24-pounder naval artillery.^Can conquer cities for his faction.^^Commodore:^Can hire elite soldiers.^Can purchase warships, up to rank 4.^Can have up to 3 letters of marquee.^Can purchase 32-pounder naval artillery.^Can be granted governorship over a city by his faction.^^Admiral:^Can purchase warships of any rank.^Can purchase 42-pounder naval artillery.{***}
str_trader_ranks_info|Shopkeeper:^Can build mines and plantations.^Can own 1 enterprise per town, up to 5 total.^Can purchase light ships.^^Trader:^Can hire colonial soldiers.^Can own up to 2 enterprises per town, up to 10 total.^Can purchase medium ships, up to rank 2.^Can upgrade vessels.^Can join a faction.^^Merchant:^Can build manufactories.^Can own up to 3 enterprises per town, up to 15 total.^Can have 1 letter of marquee.^Can purchase trade ships, up to rank 2.^Can purchase 12-pounder naval artillery.^^Patrician:^Can hire regular soldiers.^Can own up to 4 enterprises per town, up to 20 total.^Can purchase trade ships, up to rank 3.^Can purchase 16-pounder naval artillery.^Fewer taxes and harbor fees in the cities of his faction.^^Councilor:^Can own up to 5 enterprises per town, up to 25 total.^Can purchase trade ships, up to rank 4.^Can have up to 2 letters of marquee.^Can purchase 24-pounder naval artillery.^Can be granted governorship over a city by his faction.^Fewer taxes and harbor fees in the cities of his faction.^^Chairman:^Can hire elite soldiers.^Can own up to 10 enterprises per town, up to 100 total.^Can purchase trade ships of any rank.^Can purchase 32- and 42-pounder naval artillery.^Fewer taxes and harbor fees in the cities of his faction.{***}
str_randomize|Randomize{***}
str_charge|Charge{***}
str_color|Color{***}
str_flip_horizontal|Flip Horizontal{***}
str_flip_vertical|Flip Vertical{***}
str_hold_fire|Hold Fire{***}
str_blunt_hold_fire|Blunt / Hold Fire{***}
str_acres_grain|acres of grainfields{***}
str_acres_orchard|acres of plantations{***}
str_acres_oasis|acres of orchards and vineyards{***}
str_looms|looms{***}
str_boats|boats{***}
str_head_cattle|head of cattle{***}
str_head_sheep|head of sheep{***}
str_mills|mills{***}
str_kilns|kilns{***}
str_pans|pans{***}
str_deposits|deposits{***}
str_hives|hives{***}
str_breweries|breweries{***}
str_presses|presses{***}
str_smithies|smithies{***}
str_caravans|overland caravans{***}
str_traps|traps{***}
str_gardens|small gardens{***}
str_tanneries|tanning vats{***}
str_master_miller|Master miller{***}
str_master_brewer|Master brewer{***}
str_master_presser|Master presser{***}
str_master_smith|Master smith{***}
str_master_tanner|Master tanner{***}
str_master_weaver|Master weaver{***}
str_master_dyer|Master dyer{***}
str_war_report_minus_4|we are about to give up{***}
str_war_report_minus_3|the situation is grim{***}
str_war_report_minus_2|things are going pretty badly for us{***}
str_war_report_minus_1|we can still turn the situation around{***}
str_war_report_0|we are as strong as the enemy{***}
str_war_report_plus_1|we are making a good progress towards victory{***}
str_war_report_plus_2|things are going pretty well indeed{***}
str_war_report_plus_3|we will crush them soon{***}
str_war_report_plus_4|we are coasting to victory{***}
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.{***}
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmaneuvres you from the very start. Even your best arguments sound hollow to your own ears. {s50}, likewise, has not formed a very high opinion of what you had to say.{***}
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you can't seem to bring forth anything concrete that {reg51?she:he} cannot counter with a rational point. In the end, neither of you manage to gain any ground in this discussion.{***}
str_persuasion_summary_good|Through quick thinking and smooth argumentation, you manage to state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses doubts about your request.{***}
str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better . The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.{***}
str_secret_sign_1|There are more things in heaven and earth, Horatio...{***}
str_secret_sign_2|Carried away, the crow, all to keen to show the beauty of his voice...{***}
str_secret_sign_3|To withdraw is not to run away, and to stay is no wise action when there is more reason to fear than to hope.{***}
str_secret_sign_4|Poore man, what art! A Tennis ball of Errour...{***}
str_countersign_1|...Than are dreamt of in your philosophy.{***}
str_countersign_2|...Raised his crop, opened his mouth, let the cheese drop.{***}
str_countersign_3|'Tis the part of a wise man to keep himself today for tomorrow, and not venture all his eggs in one basket.{***}
str_countersign_4|A ship of Glasse, toss'd in a Sea of terrour!{***}
str_number_of_troops_killed_reg1|Enemies slain: {reg1}{***}
str_number_of_troops_wounded_reg1|Enemies wounded: {reg1}{***}
str_number_of_own_troops_killed_reg1|Friendly soldiers killed: {reg1}{***}
str_number_of_own_troops_wounded_reg1|Friendly soldiers wounded: {reg1}{***}
str_retreat|Retreat!{***}
str_siege_continues|Fighting Continues...{***}
str_casualty_display|Your casualties: {s10}^Enemy casualties: {s11}{s12}{***}
str_casualty_display_hp|You were wounded for {reg1} hit points.{***}
str_quest_log_updated|Quest log has been updated...{***}
str_banner_selection_text|You have earned the right to have your own banner. It will signify your noble status and bring you honour. What heraldry do you wish to choose?{***}
str_retirement_text_1|Too late it becomes obvious that your money won't last for long. Soon, what little you bothered to save is all gone. You try to go back to your adventuring days, but fail time and again. You end up a beggar in {s9}, living on alms and the charity of the church.{***}
str_retirement_text_2|Too late it becomes obvious that your money won't last for long. Soon, what little you bothered to save is all gone. Having lost everything, you are forced to turn to a life of crime in the backstreets of {s9}, making your miserable living by robbing coppers from the poor.{***}
str_retirement_text_3|Too late it becomes obvious that your money won't last for long. Soon, what little you bothered to save is all gone. You end up a penniless drifter, going from tavern to tavern trading your war stories that no one ever believes for free drinks and a meal.{***}
str_retirement_text_4|The silver you've saved isn't much, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract attention from potential {wives/husbands}. In time, the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and taverns so that the children may keep a memory of you for ever and ever.{***}
str_retirement_text_5|The silver you've saved isn't much, but it's enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time your growing tavern becomes a popular feasthall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.{***}
str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allow you to make some excellent investments to cement your future. Having bought several shops and plantations in and around {s9}, you develop into one of the most prominent merchants in town. Soon, you're a wealthy {man/woman} known as much for your trading empire as your exploits in battle.{***}
str_retirement_text_7|As a governor, however minor, your future is all but assured. You settle in your manor at {s7}, managing the village and its fields, adjudicating the local courts and fulfilling your obligations to your ruler. The winds of war sometimes force you to rejoin your liege in his campaigns, but these stints are brief, and you never truly return to the adventuring of your younger days. You have already made your fortune. With your own hall and estates, you have few wants that your personal wealth and the income of your lands cannot afford you.{***}
str_retirement_text_8|There is no question that you've done very well for yourself. Your extensive estates and adventuring wealth are enough to guarantee you a rich and easy life for the rest of your days. Retiring to your palace in {s9}, you exchange adventure for politics, and soon establish yourself as a considerable power in your ruler's domains. With intrigue to busy yourself with, a palace to hold balls in and a hundred fine war stories to tell, you have little trouble making the best of the years that follow.{***}
str_retirement_text_9|As a reward for your competent and loyal service, your ruler decrees that you be given an governor's office in his domain. Soon, you complete your move to the village of {s7}, and eventually become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your settlement, and recounting the old times of adventure and glory.{***}
str_retirement_text_10|Though you started from humble beginnings, your ruler holds you in high esteem, and a ripple of shock passes through the colonies when he appoints you a governor of {s9}. The power and riches you wield now are matched by few. You quickly become your liege's most trusted advisor, almost his equal and charged with much of the running of his domains, and you reign from your own splendourous palace as one of the most powerful figures in the Americas.{***}
str_loot_village|attack innocent villagers{***}
str_steal_from_villagers|steal from poor villagers{***}
str_rob_caravan|rob a merchant caravan{***}
str_sell_slavery|sell people into slavery{***}
str_men_hungry|run out of food{***}
str_men_unpaid|fail with the pay{***}
str_excessive_casualties|turn every battle into a bloodbath for our side{***}
str_surrender|surrender to the enemy{***}
str_flee_battle|run from battle{***}
str_pay_bandits|pay off common outlaws{***}
str_fail_quest|botch a task we undertook on word of honour{***}
str_squander_money|squander money given to us in trust{***}
str_murder_merchant|involve ourselves in cold-blooded murder{***}
str_round_up_serfs|round up peasants on behalf of some noble{***}
str_battle_fate_1|We were separated in the heat of battle{***}
str_battle_fate_2|I was wounded and left for dead{***}
str_battle_fate_3|I was knocked unconscious by the enemies{***}
str_battle_fate_4|I was taken captive and held for ransom{***}
str_battle_fate_5|I got captured, but later managed to escape{***}
str_npc_morale_report|I'm {s6} the other officers, {s7} your way of command, and {s8} the situation in general{***}
str_happy|happy about{***}
str_content|satisfied with{***}
str_concerned|concerned about{***}
str_not_happy|displeased with{***}
str_miserable|downright appalled at{***}
str_morale_reg1|Morale: {reg1}{***}
str_bar_enthusiastic|Enthusiastic{***}
str_bar_content|Content{***}
str_bar_weary|Indifferent{***}
str_bar_disgruntled|Frustrated{***}
str_bar_miserable|Depressed{***}
str_here_plus_space|here{***}
str_personality_archetypes|liege{***}
str_martial|martial{***}
str_quarrelsome|bad-tempered{***}
str_selfrighteous|pitiless{***}
str_cunning|cunning{***}
str_debauched|sadistic{***}
str_goodnatured|good-natured{***}
str_upstanding|upstanding{***}
str_roguish|roguish{***}
str_benevolent|benevolent{***}
str_mercantile|mercantile{***}
str_surrender_demand_default|Surrender or perish!{***}
str_surrender_demand_martial|You have no chances. You may fight, but it would achieve you nothing. There is no disgrace in yielding now.{***}
str_surrender_demand_quarrelsome|You have nowhere to run now. Surrender, or I'll ride you down like a dog.{***}
str_surrender_demand_pitiless|You cannot defeat me, and I'll teach you a painful lesson if you try. Yield!{***}
str_surrender_demand_cunning|You are outmatched today. Give up and lay down your arms. Think of your men!{***}
str_surrender_demand_sadistic|Surrender or I'll gut you like a fish!{***}
str_surrender_demand_goodnatured|We have the advantage of you. Yield, and you will be treated honourably.{***}
str_surrender_demand_upstanding|You may fight us, but many of your men will be killed, and you will probably lose. Yield, and spare us both the unnecessary bloodshed.{***}
str_surrender_offer_default|No more fighting! I surrender!{***}
str_surrender_offer_martial|I yield now!{***}
str_surrender_offer_quarrelsome|Enough! The field is yours for today, you bastard.{***}
str_surrender_offer_pitiless|I yield! You have won. Cursed be this day!{***}
str_surrender_offer_cunning|Stop! I surrender to you!{***}
str_surrender_offer_sadistic|I give up! I give up! Call back your dogs!{***}
str_surrender_offer_goodnatured|I yield! Congratulations on your victory, {sir/madame}!{***}
str_surrender_offer_upstanding|I yield! Grant me the honours of war, and do yourself credit!{***}
str_lord_declines_negotiation_offer_default|That may be, but I wish to fight against you{***}
str_lord_declines_negotiation_offer_martial|That may be, but it is my duty to fight against you{***}
str_lord_declines_negotiation_offer_quarrelsome|Hah! I want to fight against you{***}
str_lord_declines_negotiation_offer_pitiless|Why should I care? I wish to fight against you{***}
str_lord_declines_negotiation_offer_cunning|Ah. Unfortunately, you see, I wish to fight against you{***}
str_lord_declines_negotiation_offer_sadistic|Still your tongue! You will have need of it shortly, while begging for mercy{***}
str_lord_declines_negotiation_offer_goodnatured|I'm sorry -- I can't just let you ride away. No hard feelings?{***}
str_lord_declines_negotiation_offer_upstanding|That may be, but my duty to my liege requires me to fight against you{***}
str_prisoner_released_default|Thank you, {sir/madame}. Your kindness shall not be forgotten.{***}
str_prisoner_released_martial|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!{***}
str_prisoner_released_quarrelsome|I'm free? Well... Good bye, then.{***}
str_prisoner_released_pitiless|Thank you. When you are finally defeated, I will request for your death to be swift and merciful. Unless, that is, you care to join us... Good bye, for now.{***}
str_prisoner_released_cunning|Am I? You are a good {man/woman}. I will try to find a way to repay you.{***}
str_prisoner_released_sadistic|Am I? So refined is your cruelty, that you would rather see me free and humiliated, than in chains. Enjoy your triumph!{***}
str_prisoner_released_goodnatured|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!{***}
str_prisoner_released_upstanding|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!{***}
str_enemy_meet_default|And who the hell might you be?{***}
str_enemy_meet_martial|What is your name, {sir/madame}? If we come to blows, I would know whom I fight.{***}
str_enemy_meet_quarrelsome|Who the hell are you?{***}
str_enemy_meet_pitiless|Who are you? Speak, so that I may know whom I slay.{***}
str_enemy_meet_cunning|Tell me your name. It is always good to know your enemy.{***}
str_enemy_meet_sadistic|Who are you? Speak quick, before I cut your tongue out.{***}
str_enemy_meet_goodnatured|What is your name, {sir/madame}? If we come to blows, I would know whom I fight.{***}
str_enemy_meet_upstanding|Who are you, who would come in arms to dispute our righteous cause?{***}
str_battle_won_default|You have shown yourself a powerful ally, today.{***}
str_battle_won_martial|There is no greater fortune than the chance to show one's valor on the field of arms!{***}
str_battle_won_quarrelsome|Hah! We showed those bastards a thing or two, there, didn't we?{***}
str_battle_won_pitiless|Together, we will make the foe learn to fear our names, and to quail at our coming!{***}
str_battle_won_cunning|Now, we must be sure to press our advantage, so that the blood shed today is not wasted.{***}
str_battle_won_sadistic|Now let us strip their dead and leave them for the crows, so that all will know the fate of those who come against us.{***}
str_battle_won_goodnatured|That was a good scrap! No joy like the joy of victory, eh?{***}
str_battle_won_upstanding|Now, let us pray to the Lord for our victory, and mourn the many fine men who have fallen today.{***}
str_battle_won_grudging_default|You helped turn the tide on the field, today. Whatever I may think of you, I cannot fault you for your valor.{***}
str_battle_won_grudging_martial|{playername}, you have shown yourself a worthy {man/woman} today, whatever your failures in the past.{***}
str_battle_won_grudging_quarrelsome|Hmf. Yours is not a face which I normally like to see, but I suppose today I should be grateful for your help.{***}
str_battle_won_grudging_pitiless|Your help was most valuable today. I would not imagine that you came to help me out of kindness, but I nonetheless thank you.{***}
str_battle_won_grudging_cunning|It would be unwise of me not to thank you for coming to help me in my hour of need. So... You have my gratitude.{***}
str_battle_won_grudging_sadistic|Well! How touching! {playername} comes to rescue me.{***}
str_battle_won_grudging_goodnatured|{playername}! I can't say that we've always gotten along in the past, but you fought well today. My thanks to you!{***}
str_battle_won_grudging_upstanding|Perhaps I was wrong about you. Your arrival was most timely. You have my gratitude.{***}
str_battle_won_unfriendly_default|So you're here. Well, better late than never, I suppose.{***}
str_battle_won_unfriendly_martial|We have hard harsh words in the past, but for now let us simply enjoy our victory.{***}
str_battle_won_unfriendly_quarrelsome|If you're standing there waiting for thanks, you can keep waiting. Your help wasn't really needed, but I guess you had nothing better to do, right?{***}
str_battle_won_unfriendly_pitiless|You have come here, like a jackal to a lion's kill. Very well then, help yourself to the spoils. I shall not stop you.{***}
str_battle_won_unfriendly_cunning|{playername}... Well, I suppose your arrival didn't hurt, although I won't pretend that I'm happy to see you.{***}
str_battle_won_unfriendly_sadistic|Back off, carrion fowl! This was my victory, however hard you try to steal the glory for yourself.{***}
str_battle_won_unfriendly_goodnatured|Oh, it's you. Well, I suppose I should thank you for your help.{***}
str_battle_won_unfriendly_upstanding|Thank you for coming to my support. Now I will be off, before I say something that I regret.{***}
str_troop_train_request_default|I need someone like you to knock them into shape.{***}
str_troop_train_request_martial|They need someone to show them the meaning of valor.{***}
str_troop_train_request_quarrelsome|Fat lazy bastards. They make me puke.{***}
str_troop_train_request_pitiless|They are more afraid of the enemy than they are of me, and this will not do.{***}
str_troop_train_request_cunning|But men, like swords, are tempered and hardened by fire.{***}
str_troop_train_request_sadistic|They need someone with steel in his back to flog some courage into them, or kill them trying.{***}
str_troop_train_request_goodnatured|They're good enough lads, but I am afraid that they are not quite ready for a battle just yet.{***}
str_troop_train_request_upstanding|It would be tantamount to murder for me to lead them into combat in their current state.{***}
str_unprovoked_attack_default|This is getting ridiculous. Do I have to run you through?{***}
str_unprovoked_attack_martial|I have no objection to a trial of arms, but I would ask you for what reason you attack us?{***}
str_unprovoked_attack_quarrelsome|You're making a big mistake, {boy/girl}. What do you think you're doing?{***}
str_unprovoked_attack_pitiless|Indeed? If you really want to die today, I'd be more than happy to oblige you, but I am curious as to what you hope to accomplish.{***}
str_unprovoked_attack_cunning|Really? I think that you are acting most unwisely. What do you hope to gain by this?{***}
str_unprovoked_attack_sadistic|What's this? Do you enjoy having your eyes put out?{***}
str_unprovoked_attack_goodnatured|Why do you do this? We've got no quarrel, {sir/madame}.{***}
str_unprovoked_attack_upstanding|I consider this an unprovoked assault, and will protest to your king. Why do you do this?{***}
str_unnecessary_attack_default|I will not hesitate to cut you down if pressed, but I will offer you the chance to ride away from this.{***}
str_unnecessary_attack_martial|I am eager to take you up on your challenge, {sir/madame}, although I will give you a minute to reconsider.{***}
str_unnecessary_attack_quarrelsome|Bah! I'm in no mood for this nonsense today. Get out of my way.{***}
str_unnecessary_attack_pitiless|I am in a merciful mood today. I will pretend that I did not hear you.{***}
str_unnecessary_attack_cunning|I don't see what you have to gain by making an enemy of me. Maybe you should just ride away.{***}
str_unnecessary_attack_sadistic|I have no time to waste on a worm like you. Get out of my way.{***}
str_unnecessary_attack_goodnatured|I don't see what you have to gain by picking a fight, {sir/madame}. You can still ride away.{***}
str_unnecessary_attack_upstanding|If a fight is what you wish, {sir/madame}, then you will have one, but I will yet offer you the chance to back down.{***}
str_lord_challenged_default|As you wish. To arms!{***}
str_lord_challenged_martial|So be it. Defend yourself!{***}
str_lord_challenged_quarrelsome|I'll crush you, whelp!{***}
str_lord_challenged_pitiless|If you so badly wish to die, then I have no choice but to oblige you.{***}
str_lord_challenged_cunning|Well, if you leave me no choice...{***}
str_lord_challenged_sadistic|You heap of filth! I'll make you wish you'd never been born.{***}
str_lord_challenged_goodnatured|Very well. I had hoped that we might avoid coming to blows, but I see that have no choice.{***}
str_lord_challenged_upstanding|So be it. It saddens me that you cannot be made to see reason.{***}
str_lord_mission_failed_default|That's...disappointing. But I hope you will have a chance to redeem yourself in future.{***}
str_lord_mission_failed_martial|There is no honour in failing a quest which you endeavoured to take, but I will accept your word on it.{***}
str_lord_mission_failed_quarrelsome|You failed? Bah. I should have expected as much from the likes of you.{***}
str_lord_mission_failed_pitiless|You failed? Well. You disappoint me. That is a most unwise thing to do.{***}
str_lord_mission_failed_cunning|Well, I am disappointed, but no one can guarantee that the winds of fortune will always blow their way.{***}
str_lord_mission_failed_sadistic|Indeed? Those who fail me do not always live to regret it.{***}
str_lord_mission_failed_goodnatured|Oh well. It was a long shot, anyway. Thank you for making an effort.{***}
str_lord_mission_failed_upstanding|Very well. I am sure that you gave it your best effort.{***}
str_lord_follow_refusal_default|Follow you? And who are you again, {sir/madame}?{***}
str_lord_follow_refusal_martial|Perhaps if you one day prove yourself a valorous and honourable warrior, then I would follow you. But not today.{***}
str_lord_follow_refusal_quarrelsome|Follow someone like you? I don't think so.{***}
str_lord_follow_refusal_pitiless|Lords like me do not follow people like you, {sir/madame}.{***}
str_lord_follow_refusal_cunning|First show me that you are the type of {man/woman} who will not lead me into disaster, and then perhaps I will follow you.{***}
str_lord_follow_refusal_sadistic|I think not! Rather, you should follow me, as a whipped cur follows {his/her} master.{***}
str_lord_follow_refusal_goodnatured|Um, I am a bit pressed with errands right now. Perhaps at a later date.{***}
str_lord_follow_refusal_upstanding|First show me that you are worthy to lead, and then perhaps I will follow.{***}
str_lord_insult_default|base varlot{***}
str_lord_insult_martial|dishonourable knave{***}
str_lord_insult_quarrelsome|filth-swilling bastard{***}
str_lord_insult_pitiless|low-born worm{***}
str_lord_insult_cunning|careless oaf{***}
str_lord_insult_sadistic|sniveling cur{***}
str_lord_insult_goodnatured|unpleasant fellow{***}
str_lord_insult_upstanding|disgraceful scoundrel{***}
str_lord_derogatory_default|base and vile{***}
str_lord_derogatory_martial|bullheaded{***}
str_lord_derogatory_quarrelsome|quarrelsome and divisive{***}
str_lord_derogatory_pitiless|cruel, tyrannical{***}
str_lord_derogatory_cunning|unscrupulous and manipulative{***}
str_lord_derogatory_sadistic|vile and dishonorable{***}
str_lord_derogatory_goodnatured|hopelessly naive{***}
str_lord_derogatory_upstanding|stiffnecked and sanctimonious{***}
str_lord_derogatory_result|lead us into disaster{***}
str_lord_derogatory_martial_action|charge the enemy without thought or plan, and throw away the lives of your men{***}
str_lord_derogatory_quarrelsome_action|pick fights with other nobles, leaving us divided and weak{***}
str_lord_derogatory_pitiles_action|alienate the commoners, provoking revolt and mutiny{***}
str_lord_derogatory_cunning_action|cut a deal with the enemy behind our back{***}
str_lord_derogatory_sadistic_action|bring shame upon our cause and our realm{***}
str_lord_derogatory_goodnatured_action|take pity on our enemies, rather than fight them{***}
str_lord_derogatory_upstanding_action|place your own exaggerated sense of honor above the needs of the realm{***}
str_rebellion_dilemma_martial|{s45} was clearly wronged. Although I gave an oath to {s46}, it does not bind me to support him if he usurped his position illegally.{***}
str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't figure I owe him much. However, maybe {s45} will be no better, and {s46} has at least shown himself .{***}
str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful ruler. That is good -- it absolves me of my oath to {s46}. But still I must weight my decision carefully.{***}
str_rebellion_dilemma_cunning|Hmm. I gave an oath to serve {s46}, yet the powerful are not bound by their oaths as do ordinary people. Our duty is to our own ability to rule, to impose order and prevent the war of all against all.{***}
str_rebellion_dilemma_sadistic|Hmm. In this vile world, a wise man must think of himself, for no one else will. So -- what's in it for me?{***}
str_rebellion_dilemma_goodnatured|I do not know what to say. I gave an oath to {s46} as the lawful ruler, but if he is not the lawful ruler, I don't know if I am still bound.{***}
str_rebellion_dilemma_upstanding|This is troublesome. It is a grave thing to declare my oath to {s46} to be null and void, and dissolve the bonds which keep our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to rule.{***}
str_rebellion_dilemma_2_martial|On the other hand, {s46} has led us in war and peace, and I am loathe to renounce my allegiance.{***}
str_rebellion_dilemma_2_quarrelsome|So tell me, why should I turn my back on the bastard I know, in favor of {reg3?a woman:the bastard} I don't know?{***}
str_rebellion_dilemma_2_pitiless|It is a most perilous position to be in, to be asked whom I would support as a {reg3?ruler:ruler} of this land. Yet it is also a time of opportunity, for me to reap the rewards that have always been my due!{***}
str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. Yet if {s45} takes the power by force, {reg3?she:he} will not be as strong as one who succeeded peacefully.{***}
str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak {reg3?she:he} will enrich me, but perhaps if I bring {s46} your head he will give me an even greater reward.{***}
str_rebellion_dilemma_2_goodnatured|{s46} has always treated me decently, yet it's true that he did wrong to {s45}. I hesitate to renounce my oath to {s46}, yet I also don't think it's right to support injustice.{***}
str_rebellion_dilemma_2_upstanding|I feel that I must do whatever is best for the realm, to avoid it being laid waste by civil war and ravaged by its enemies.{***}
str_political_philosophy_martial|My sword is at the disposal of my rightful ruler, so long as he treats me honourably.{***}
str_political_philosophy_quarrelsome|Bah. They're all a bunch of bastards. I try to make sure that the ones who wrong me learn to regret it.{***}
str_political_philosophy_pitiless|Men will always try to cheat others of their rightful due. In this faithless world, each must remain vigilant of his own rights.{***}
str_political_philosophy_cunning|Well, it's a harsh world, and it is our lot to face harsh choices. Sometimes one must serve a tyrant to keep the peace, but sometimes a bit of rebellion keeps the kings honest. Circumstance is all.{***}
str_political_philosophy_sadistic|My philosophy is simple: it is better to be the wolf than the lamb.{***}
str_political_philosophy_goodnatured|Well, you should keep faith with your promises, and not do injustice to others. Sometimes it's hard to balance those. Stick with people you trust, I think, and it's hard to go far wrong.{***}
str_political_philosophy_upstanding|Kingship and lordship have been instituted to keep the peace and prevent the war of all against all, yet that must not blind us to the possibility of injustice.{***}
str_political_philosophy_roguish|Hmm.. I guess I'm thinking that it's good to be a noble.{***}
str_political_philosophy_benefactor|A good ruler makes sure all are treated justly. Personally, I intend to use my authority to better the lot of those who live under my rule.{***}
str_political_philosophy_custodian|A good ruler creates the proper conditions for people to prosper. Personally, I intend to use my wealth to create more wealth, for myself and for the common benefit.{***}
str_rebellion_prior_argument_very_favorable|I have already heard some arguments for supporting your candidate, and I tend to agree with them.{***}
str_rebellion_prior_argument_favorable|I have already heard some arguments for supporting your candidate, and I tend to agree with some of them.{***}
str_rebellion_prior_argument_unfavorable|I have already heard some arguments for supporting your candidate, but I do not find them convincing.{***}
str_rebellion_prior_argument_very_unfavorable|I have already heard some arguments for supporting your candidate, but I disagree with most of them.{***}
str_rebellion_rival_martial|{s49} your ally {s44} once questioned my honour and my bravery. It's not often I get the chance to face him in battle, and make him retract his statement.{***}
str_rebellion_rival_quarrelsome|{s49} you're working with {s44}. He's a crafty weasel, and I don't trust him one bit.{***}
str_rebellion_rival_pitiless|{s49} you seem to have enlisted the support of {s44} -- who is soft, and weak, and not fit to rule, and whom I have always detested.{***}
str_rebellion_rival_cunning|{s49} {s44}, who has already joined you, is headstrong and quarrelsome, and a bit of liability.{***}
str_rebellion_rival_sadistic|{s49} I have no desire to fight alongside your ally {s44}, who puts on such a nauseating display of virtue.{***}
str_rebellion_rival_goodnatured|{s49} I'd be reluctant to be on the same side as {s44}, who has quite a reputation for cruelty.{***}
str_rebellion_rival_upstanding|{s49} your ally {s44} is in my opinion a dangerous, unreliable, and highly unprincipled man.{***}
str_rebellion_argument_favorable|I respect your line of argument{***}
str_rebellion_argument_neutral|I find your line of argument not particularly compelling{***}
str_rebellion_argument_unfavorable|I do not find your line of argument compelling{***}
str_rebellion_persuasion_favorable|you state your case eloquently{***}
str_rebellion_persuasion_neutral|you make a reasonable case{***}
str_rebellion_persuasion_unfavorable|you make an unconvincing case{***}
str_rebellion_relation_very_favorable|I have the greatest respect for you personally.{***}
str_rebellion_relation_favorable|I know and respect you personally.{***}
str_rebellion_relation_neutral|I do not know you as well as I might like.{***}
str_rebellion_relation_unfavorable|I do not trust you.{***}
str_and_comma_3|Furthermore,{***}
str_but_comma_3|However,{***}
str_and_comma_1|, and{***}
str_but_comma_1|, but{***}
str_and_comma_2|. Moreover,{***}
str_but_comma_2|. Nonetheless,{***}
str_rebellion_agree_martial|I have decided. I will back {s45} as the rightful ruler.{***}
str_rebellion_agree_quarrelsome|Ahh, I've thought long enough. I never did like {s46} much anyway. Let's go take his power away from him.{***}
str_rebellion_agree_pitiless|You are fortunate. I have decided to join you. Pray do not give me cause to regret this decision.{***}
str_rebellion_agree_cunning|This is a most dangerous decision, but after careful consideration, I have decided that I will join you. Let's hope it is for the best.{***}
str_rebellion_agree_sadistic|I have decided. I will back your {reg3?woman:man} {s45}. But you'd best make sure that {reg3?she:he} rewards me well!{***}
str_rebellion_agree_goodnatured|All right. I think your {reg3?woman:man} will be a good ruler. I'll join you.{***}
str_rebellion_agree_upstanding|So be it. My first duty is to this realm, and to save it from lawlessness I will back {s45} and renounce my oath to {s46}. May the Lord forgives me if I do wrong.{***}
str_rebellion_refuse_martial|I am sorry. {s45} has a good claim, but it's not enough for me to turn my back on {s46}. I will remain loyal to my liege.{***}
str_rebellion_refuse_quarrelsome|Nah. Your whelp {s45} doesn't have what it takes to rule this land. I'm sticking with {s46}.{***}
str_rebellion_refuse_pitiless|No. I will not join your rebellion. I count it little more than the tantrum of a child, denied a bauble which {reg3?she:he} thinks should be {reg3?hers:his}. I will stick with {s46}, whose ability to rule is well-tested.{***}
