qstr__plantation_horse_ba|养马场
qstr_Caliber_of_cannons.|Caliber of cannons.{***}
qstr_Reload_time:_{reg10}|Reload time: {reg10}{***}
qstr_Damage:_{reg10}/{reg|Damage: {reg10}/{reg11}/{reg12}{***}
qstr_Damage_to_hull_riggi|Damage to hull, rigging and crew^(using the most appropriate ammunition){***}
qstr_Starboard:_{reg10}_o|Starboard: {reg10} out of {reg11}{***}
qstr_{reg10}_out_of_{reg1|{reg10} out of {reg11}{***}
qstr_Port:_{reg10}_out_of|港口: {reg10} out of {reg11}
qstr_Next_Page|下一页
qstr_Action|行动
qstr_Attack_Type|武器选择
qstr_Stand_Ground|站岗
qstr_Charge|冲锋
qstr_Follow_Me|随我来
qstr_Hold_This_Position|坚守此地
qstr_Spread_Out|散开
qstr_Stand_Closer|聚拢
qstr_Fall_Back|退后
qstr_Advance|前进
qstr_Dismount|下马
qstr_Mount|上马
qstr_Fire_At_Will|任意射击
qstr_Use_Blunt_Weapons|使用钝击武器
qstr_Use_Any_Weapon|使用任意武器
qstr_Ready|准备
qstr_Wounded|受伤
qstr_Dead|死亡
qstr_Start_battle|开始战斗
qstr_To_battle|战斗
qstr___{s1}_| '{s1}'{***}
qstr_Select_all_divisions|选择所有'{s2}'
qstr_^Currently_Attacking|^现在攻击目标
qstr_^Currently_Charging|^现在冲锋
qstr_^Currently_Skirmishi|^现在散开
qstr_^Currently_Following|^现在跟我来
qstr_^Currently_Holding|^现在坚守这里
qstr_^Currently_Standing_|^现在原地待命
qstr_^Currently_Retreatin|^现在撤退
qstr_battle_gui_buttons_s|战役界面按钮选项
qstr_Give_basic_order__{s|发出基本命令({s2}){s1}
qstr_^Currently_One_Row|^Currently One Row{***}
qstr_^Currently_Two_Rows|^Currently Two Rows{***}
qstr_^Currently_Three_Row|^Currently Three Rows{***}
qstr_^Currently_Four_Rows|^Currently Four Rows{***}
qstr_^Currently_Five_Rows|^Currently Five Rows{***}
qstr_^Currently_in_Square|^Currently in Square{***}
qstr_^Currently_in_Wedge|^Currently in Wedge{***}
qstr_Give_formation_order|Give formation order ({s2}){s1}{***}
qstr_^Currently_Firing_at|^Currently Firing at Will{***}
qstr_^Currently_Firing_on|^Currently Firing on Command{***}
qstr_^Currently_Volleying|^Currently Volleying en Masse{***}
qstr_^Currently_Volleying_|^Currently Volleying by Rank{***}
qstr_Give_firing_order__{|Give firing order ({s2}){s1}{***}
qstr_Currently_Mounted|现在上马
qstr_Currently_Dismounted|现在下马
qstr_battle_gui_buttons_d|战役界面按钮禁用battle gui buttons disabled{***}
qstr_^_Battle_Mode__{s1}|^(战斗模式) {s1}{***}
qstr_^{s1}|^{s1}{***}
qstr_Give_horses_order__{|命令骑兵({s2}){s1}
qstr_^Currently_Memorized|^快速存档
qstr_^Currently_Default|^现在默认
qstr_Set_relative_divisio|指派位置({s2}){s1}
qstr_Order:|命令：
qstr_Charge_in^ranks_form|冲锋^形成行列
qstr_Skirmish_in^ranks_fo|散开^形成行列
qstr_Follow_player|跟着玩家
qstr_Hold_around^current_|保持在^当前位置
qstr_Stand_ground^_troops|站在原地^( 士兵不动)
qstr_Retreat_in^ranks_for|撤退^队伍的形成
qstr_Stop_to_form_1_row|停止形成1 排
qstr_Stop_to_form_2_row|停止形成2 排
qstr_Stop_to_form_3_row|停止形成3 排
qstr_Stop_to_form_4_row|停止形成4 排
qstr_Stop_to_form_5_row|停止形成5 排
qstr_Stop_infantry_to_for|步兵停止形成方阵^待在原地或前进
qstr_Only_infantry_can_fo|只有步兵才能组建广场
qstr_Stop_infantry_cavalr|Stop infantry, cavalry to form Wedge^for Hold or Advance
qstr_Only_infantry_cavalr|Only infantry, cavalry can form Wedge
qstr_Spread_out|散开
qstr_Stand_closer|聚拢
qstr_^_Battle_Mode_|^（战斗模式）
qstr_Fire_now{s1}|现在开火{s1}
qstr_Fire_at_will|自由射击
qstr_Fire_on_command|一起开火
qstr_Stop_to_volley_en_ma|停止射击
qstr_Stop_to_volley_by_ra|停止射击
qstr_Mount_horses|上马
qstr_Dismount_horses|下马
qstr_Memorize_division_po|记住相对于玩家的分数位置^
qstr_Default_division_pos|球员周围的默认分区位置^
qstr_battle_gui_buttons_h|战斗悬停按钮
qstr_battle_gui_buttons|战斗按钮
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|None{***}
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|员工：
qstr_Fleet:|舰队：
qstr_Rent:|Rent:
qstr_You_paid_{reg0}_cash|You paid {reg0} cash to liquidate a debt
qstr_Earlier_cash:|初始资金：
qstr_New_cash:|现有资金：
qstr_Continue...|继续
qstr_DeathCam|死尸堆
qstr_Camera|相机
qstr_Default|默认
qstr_Follow|跟随
qstr_Free|继续
qstr_F5___Battle_command_|F5 - 战斗命令面板
qstr_F6___Alternate_forma|F6 - 替代地层
qstr_F8___Skirmish|F8 - Skirmish
qstr_F8___Memorize_div._p|F8 - 冲突
qstr_F9___Default_div._pl|F9 - 默认div。放置
qstr_F5___Fire_in_volleys|F5 - Fire in volleys{***}
qstr_F6___Fire_by_rank|F6 - Fire by rank{***}
qstr_F7___Wield_spears|F7 - Wield spears{***}
qstr_F8___Wield_one_hande|F8 - Wield one-handers{***}
qstr_F9___Wield_two_hande|F9 - Wield two-handers{***}
qstr_F5___Ranks|F5 - Ranks{***}
qstr_F6___Shieldwall|F6 - Shieldwall{***}
qstr_F7___Wedge|F7 - Wedge{***}
qstr_F8___Square|F8 - Square{***}
qstr_F9___No_formation|F9 - No formation{***}
qstr_F10___Add_one_rank|F10 - Add one rank{***}
qstr_F11___Remove_one_ran|F11 - Remove one rank{***}
qstr_Cannon_is_reloading|大炮
qstr_Press_the_Use_key_to|敲击‘Use ’键来操作大炮 
qstr_{s10}|{s10}
qstr_Construction|Construction{***}
qstr_You_must_hire_a_cler|You must hire a clerk in this town to construct buildings.{***}
qstr_Bulk_trading|大宗交易
qstr_Dock|Dock{***}
qstr_Message_board|信息板
qstr_Warehouse|Warehouse{***}
qstr_Town_manufactories|Town manufactories{***}
qstr_Resource_productions|Resource productions{***}
qstr_Urban_buildings|Urban buildings{***}
qstr_Prosperity:_{reg1}|Prosperity: {reg1}{***}
qstr_{s50}|{s50}{***}
qstr_{reg1}_|{reg1} {***}
qstr_BUILD|建立
qstr_Click_to_enter|点击进入
qstr_LOADING...|正在载入中...
qstr_Put_to_sea|出海
qstr_Leave|离开
qstr_Go_ashore|上岸
qstr__| 
qstr_Done|交易
qstr_{s51}|{s51}{***}
qstr_{s1}|{s1}
qstr_Free_slots:_{reg1}|自由贸易区: {reg1}
qstr_Only_the_governor_ca|Only the governor can construct these buildings.{***}
qstr___{reg1}_piastres_pe| ({reg1}皮阿斯特每晚)
qstr_Cannot_enter|Cannot enter{***}
qstr_Sell_items_automatic|出售的物品自动离开时: 
qstr_Price_limit_for_auto|价格销售限额:
qstr_Item_types_for_auto_|销售的产品类型:
qstr_Select_all|所有选择
qstr_Invert_selection|Invert selection{***}
qstr_Name:_{s1}^Level:_{r|Name: {s1}^Level: {reg1}{***}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}{***}
qstr_Weapon_upgrade_setti|Weapon upgrade settings:{***}
qstr_Apply_to_everyone|Apply to everyone{***}
qstr_Upgrade_armor_|Upgrade armor {***}
qstr_Upgrade_horse_|Upgrade horse {***}
qstr_Dictate_the_peace_te|Dictate the peace terms{***}
qstr_Select_the_town_and_|Select the town and the amount of money and check the boxes to activate the demand. The demands are combined if both boxes are checked.{***}
qstr_1000_piastres|1000 皮阿斯特
qstr_Select_your_domestic|Select your domestic policy{***}
qstr_Centralization:|Centralization:{***}
qstr_Aristocracy:|Aristocracy:{***}
qstr_Slavery:|Slavery:{***}
qstr_Troop_quality:|Troop quality:{***}
qstr_Mercantilism:|Mercantilism:{***}
qstr_High_centralization_|High centralization reduces tax inefficiency for the ruler and raises it for governors. This will harm the relations between the ruler and his nobles.{***}
qstr_High_aristocracy_wil|High aristocracy will improve the relations between the ruler and his nobles who will be able to raise bigger armies. However, it will hurt trade.{***}
qstr_High_degree_slavery_|High degree slavery increases profits for the ruler and his governors, and governors can maintain bigger armies. However, many soldiers will suffer lower morale from discontent.{***}
qstr_High_troop_quality_i|High troop quality increases the strength of troops but decreases the size of the army.{***}
qstr_Mercantilistic_polic|Mercantilistic policies maximize exports while minimizing imports, and increase government regulation of industry.{***}
qstr_How_will_your_male_n|How will your male nobles be known?{***}
qstr_How_will_your_female|How will your female nobles be known?{***}
qstr_Use_the_Titles_Enter|Use the Titles Entered Above.{***}
qstr_Use_Default_Titles__|Use Default Titles (Lord/Lady).{***}
qstr_Buy_food_automatical|当离开时自动购买食物:
qstr_*|*
qstr_Disable_mod_formatio|禁用Mod 组:
qstr_Put_player_in_divisi|把玩家划分：
qstr_Formations_rotate_to|编队旋转面对敌人中心
qstr_Make_large_battles_s|使大规模的战斗更顺畅，AI 笨：
qstr_Prevent_AI_from_taki|防止人工智能采取防御：
qstr_{reg0}|{reg0}
qstr_Mod_Options|MOD 选项
qstr_Full_PBOD^Features|全pbod ^特征
qstr_Exit|出口
qstr_Merchant|杂货商人
qstr_Loot|Loot{***}
qstr_Smugglers|走私者
qstr_Your_fleet|Your fleet{***}
qstr_Moored_ships|Moored ships{***}
qstr_Money_in_cash|Money in cash{***}
qstr_{reg0}_|{reg0} {***}
qstr_+{reg0}_|+{reg0} {***}
qstr_Supply_train_capacit|Supply train capacity{***}
qstr_Your_fleet_s_hold|Your fleet's hold{***}
qstr_{reg0}/{reg1}_|{reg0}/{reg1} {***}
qstr_Moored_ships_hold|Moored ships hold{***}
qstr_{s0}|{s0}{***}
qstr_Sell_price:_{reg1}|Sell price: {reg1}{***}
qstr_Buy_price:_{reg1}|购买价格: {reg1}
qstr_{s5}|{s5}{***}
qstr_Page_{reg1}|第{reg1}页
qstr_Corned_Beef|咸牛肉
qstr_999|999
qstr_999_|999
qstr_{reg2}/{reg3}_|{reg2}/{reg3} {***}
qstr_{reg2}_|{reg2} {***}
qstr_{reg4}/{reg5}_|{reg4}/{reg5} {***}
qstr_X:__Y:|X:  Y:
qstr_X:{reg0}_Y:{reg1}|X:{reg0} Y:{reg1}
qstr__Faction_Relations_R|派系关系报告
qstr__Return_to_menu_|返回菜单
qstr_Your_kingdom|你的王国
qstr_Player^Relation|玩家^关系
qstr_War|战争
qstr_Casus_Belli|宣战
qstr_Peace|和平
qstr_Truce|休战
qstr_Alliance|同盟
qstr_Defense|防御
qstr_Trade|交易
qstr_{reg59?{reg59}_days:|{reg59?{reg59} 天:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|为你欢呼
qstr_Devoted|对你衷心耿耿
qstr_Fond|非常尊敬你
qstr_Gracious|非常支持你
qstr_Friendly|对你交口称赞的
qstr_Supportive|热切地望着你的
qstr_Favorable|亲切地看着你的
qstr_Cooperative|开始接受你的
qstr_Accepting|信任的
qstr_Indifferent|面无表情的看着你的
qstr_Suspicious|意味深长地看着你的
qstr_Grumbling|警惕地看着你的
qstr_Hostile|狠狠地盯着你的
qstr_Resentful|开始厌恶你的
qstr_Angry|非常讨厌你的
qstr_Hateful|憎恨的
qstr_Loathing|非常讨厌的
qstr_Vengeful|复仇的
qstr_{reg1}|{reg1}{***}
qstr_{s3}|{s3}{***}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}城镇
qstr_{reg62}_Convoys|{reg62} 车队
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :} 船长 
qstr_Messages_from_mercen|从雇佣兵传来的消息
qstr_Messages_from_town_a|来自镇机关的消息
qstr_Messages_from_the_fa|来自派系的信息
qstr_All_messages|全部信息
qstr_Title_|Title 
qstr_Desc_Desc_Desc_Desc^|降序降序降序降序^降序降序^降序
qstr_Title|标题
qstr_Text1|正文1
qstr_Text2|正文2
qstr_Given_by:_{s1}|任务委托方: {s1}
qstr_Given_on:_{s2}|委托初始时间: {s2}
qstr_Show_game_rules|游戏规则说明：
qstr_Game_Rules:^|游戏的规则：^
qstr_Rent_from_cities:|从城市获得的税金: {***}
qstr_Party_wages:|行政机关工资:{***}
qstr_Garrison_wages:|驻军工资:{***}
qstr_Fleet_maintenance:|舰队维护:{***}
qstr_Business_maintenance|运营维护经费:{***}
qstr_{reg0}_gold_removed_|{reg0} gold removed from bank.{***}
qstr_{reg0}_gold_added_to|{reg0} gold added to bank.{***}
qstr_Battle_map|战场地图
qstr_Start_Battle|开始作战
qstr_Follow_me|跟我来
qstr_Hold_Position|坚守岗位
qstr_1|1
qstr_2|2
qstr_3|3
qstr_4|4
qstr_Attack|攻击
qstr_Move|行动
qstr_Battle_begins_in:|战斗开始于：
qstr_00|00
qstr_0{reg0}|0{reg0}
qstr_Your_gold:_{reg10}|你的资金: {reg10}
qstr_Buy__{reg10}_piastre|购买({reg10} 皮阿斯特)
qstr_Sell__{reg10}_piastr|卖出({reg10} 皮阿斯特)
qstr_Repair__{reg10}_pias|修复({reg10} 皮阿斯特)
qstr_Manage_ships|Manage ships{***}
qstr_Buy_ships|Buy ships{***}
qstr_Hull:_{reg10}|船体: {reg10}
qstr_Sails:_{reg10}|船帆: {reg10}
qstr_Crew:_{reg10}|船员: {reg10}
qstr_Swivel_guns:_{reg10}|回转炮: {reg10}
qstr_Cannon_decks:_{reg10|甲板火炮: {reg10}
qstr_Bow_cannons:_{reg10?|船头炮: {reg10? 有: 无}
qstr_Stern_cannons:_{reg1|船尾炮: {reg10?有: 无}
qstr_Max_ammo:_{reg10}|弹药最大储备量: {reg10}
qstr_Current_ammo:_{reg11}|当前弹药：{reg11} ({reg10})
qstr_Buy_ammo_{reg10}_pia|购买弹药({reg10} 皮阿斯特)
qstr_Hull_damage:_{reg10}|船体损坏: {reg10} ^船帆损伤: {reg11} ^船员损伤: {reg12}
qstr_Price:_{reg10}|价格: {reg10}
qstr_Price__1_cannon_:_{r|价格(1 大炮): {reg11} ({reg10})
qstr_Total_cannons__up_to|主炮( 升级后): {reg11} ({reg10})
qstr_{reg10}|{reg10}
qstr_Upgrade_cannons|升级大炮
qstr_Remove_cannons|拆除大炮
qstr_Allowed_calibre:_{re|允许口径: {reg10}
qstr_Deck_1|甲板1
qstr_Deck_2|甲板2
qstr_Deck_3|甲板3
qstr_Crew|水手
qstr_Stern_cannons|Stern 大炮
qstr_Bow_cannons|Bow 大炮
qstr_Ship_s_crew:|船上的水手
qstr_Crew_size__up_to_:_{|船员规模（升级后）: {reg10} ({reg11})
qstr_Experience:_{reg10}|经验：{reg10}
qstr_Next_level_at:_{reg1|下一级：{reg10}
qstr_Veteran|老兵
qstr_Trained|训练有素
qstr_Rookies|新秀
qstr_Level:_{s1}|水平: {s1}
qstr_Trained_crew:__10%_c|训练有素的船员: -10% 大炮重新加载时间：-20% 大炮装填时间, ^ 更好的炮手
qstr_Upkeep:_{reg10}|保养: {reg10}
qstr_Train__{reg10}_piast|训练({reg10} 皮阿斯特)
qstr_Train|训练
qstr_Train_the_sailors:|训练士兵。
qstr_The_crew_can_t_be_tr|水手已经没必要再接受训练。
qstr_Replenish_the_crew_f|先补充水手。
qstr_Hire_sailors:|雇佣水手：
qstr_Available_in_this_to|可招募人手：{reg10}
qstr_Hire__{reg10}_piastr|雇用({reg10} 皮阿斯特)
qstr_Selected_upgrade:_^{|选择升级：^{s2}
qstr_Remove|拆除
qstr_This_upgrade_cannot_|无法删除此升级。
qstr_Add_upgrade|开始升级
qstr_Not_enough_gold!|金币不够
qstr_Your_rank_is_not_hig|你的级别还不够高
qstr_Can_t_add_any_more_u|不能添加任何更多的升级到这艘船。
qstr_{s2}|{s2}
qstr_Upgrade_price:_{reg1|升级将花费: {reg10} 皮阿斯特
qstr_Description:^{s2}^^E|简介:^{s2}^^ 影响:^{s3}
qstr_Ship_upgrades|船只升级
qstr_{reg10}/{reg11}|{reg10}/{reg11}
qstr_Replenish__{reg10}_p|补充({reg10} 皮阿斯特)
qstr_Upgrade|升级
qstr_Total_Cost:_{reg1}|总共花费:  {reg1}
qstr_Preference_Descripti|偏好描述设置:
qstr_Use_NPC_Lancer_Fix:|使用NPC 蓝瑟修复：
qstr_Use_NPC_Horse_Archer|Use NPC Horse Archer Fix:{***}
qstr_Use_NPC_Spear/Polear|Use NPC Spear/Polearm Fix:{***}
qstr_Use_Pike/Horse_Damag|Use Pike/Horse Damage Tweaks:{***}
qstr_Reassign_De_horsed_C|Reassign De-horsed Cavalry to:{***}
qstr_Reassign_No_Ammo_Arc|Reassign No-Ammo Archers to:{***}
qstr_Enable_Real_Deployme|Enable Real Deployment Phase:{***}
qstr_Enable_Battle_Contin|Enable Battle Continuation:{***}
qstr_Batt._Cont._Charge_a|Batt. Cont., Charge after KO:{***}
qstr_Formations_Battle_AI|Formations Battle AI:{***}
qstr_Enable_AI_Spear_Brac|Enable AI Spear Bracing:{***}
qstr_Enable_AI_Skirmishin|Enable AI Skirmishing:{***}
qstr_Enable_AI_Volley_Fir|Enable AI Volley Fire:{***}
qstr_Enable_AI_Deploy_Pav|Enable AI Deploy Pavise Shields:{***}
qstr_Enable_Bodyguards_in|Enable Bodyguards in Towns/Villages:{***}
qstr_Enable_ranged_penalt|Enable ranged penalty from weather:{***}
qstr_Disable_Companions__|Disable Companions' complaints:{***}
qstr_Enable_the_cheat_men|Enable the cheat menu:{***}
qstr_R.Dply._Phase_Time_S|R.Dply. Phase Time Slowing:{***}
qstr_Charge_All|Charge All{***}
qstr_Formations_AI|Formations AI{***}
qstr_Native_AI_w/Formatio|Native AI, w/Formations{***}
qstr_Faster|Faster{***}
qstr_Fastest|Fastest{***}
qstr_PBOD_Mod^Options|PBOD Mod^Options{***}
qstr_{reg0}.{reg1}|{reg0}.{reg1}{***}
qstr_Version_0.{s1}|Version 0.{s1}{***}
qstr_Mouse_over_options_f|Mouse-over options for further information.{***}
qstr_Restore_Defaults|Restore Defaults{***}
qstr_Key_Settings|Key Settings{***}
qstr_Weapon_Use_Fix_for_L|Weapon Use Fix for Lancers will force mounted bots with lances to use them unless they are surrounded by enemies. (Only active in field battles.){***}
qstr_Weapon_Use_Fix_for_H|武器使用修复马弓箭手将强制使用弓的机器人使用它们，直到他们用完弹药。（仅在野战中活跃。）
qstr_Weapon_Use_Fix_for_S|枪支/ 武装的武器使用补丁将强制步兵机器人使用它们，除非被敌人包围。（仅在野战中活跃。）
qstr_Damage_tweaks_will_g|伤害调整将平稳提高从马匹到马的伤害，并将马的损害从步兵到步兵，以便补偿瘫痪和使用费的不良使用。（仅在野战中活跃。）
qstr_Mounted_bots_once_th|一旦他们的马死亡，机器人可以重新分配给你选择的部门。如果活动，AI机器人将被重新分配给步兵。（仅在野战中活跃。）
qstr_Foot_archer_bots_onc|脚弓手机器人，一旦弹药，可以重新分配给您选择的部门。如果活动，AI机器人将被重新分配给步兵。（仅在野战中活跃。）
qstr_Real_Deployment_allo|实际部署允许您在战斗开始之前将您的部队定位在现场。^要访问此功能，请通过选择“领域”或创建并使用战前计划开始战斗。^^如果您遇到此问题功能，请参阅下面的Time Slowing选项。
qstr_Battle_Continuation_|战斗继续让你的部队在你被淘汰之后继续战斗。
qstr_If_Battle_Continuati|如果“继续战斗”活动，你可以选择你的部队在你被击倒之后做什么：残疾人继续他们以前的命令; 收费全部将给予所有人收费订单; 地层AI（如果为AI活动）将允许新的AI接管您。
qstr_Select_your_preferre|选择你喜欢的战斗AI：残疾人是Native AI; 地层AI都允许人造卫星使用地层并改变其战斗决策; 本地AI /地层是本地AI，但执行基本地形的本机AI。（仅在野战中活跃。）
qstr_Enabling_AI_Special_|启用AI特别订单允许AI团队使用排球和派对部署（弩弓）和冲突模式（弓箭手）。（仅在野战中活跃。）
qstr_Bodyguards_allows_yo|保镖允许你的同伴在城镇和乡村的场景中扮演你角色的保镖。保镖的数量取决于你的角色的领导和声望。
qstr_The_Weather_Proficie|在大雾，雨/雪或晚上，战斗中反映出射箭状况不佳的情况，降低了各部队的远程武器专长。
qstr_Disabling_NPC_Compla|Disabling NPC Complaints will mute your companion's complaints about eachother or your decisions. It will not remove the consequences of their opinions, however.{***}
qstr_The_cheat/debug_mode|The cheat/debug mode activates debug messages as well as the 'cheatmenu' in your Camp Menu and additional options under Reports.{***}
qstr_If_you_are_having_di|如果您在实际部署功能无法正常工作时遇到困难，请调整此“缩短时间”比例的值，直到该功能在您的计算机上运行。否则，请随意忽略此选项。
qstr_Keys_Configuration|键配置
qstr_Press_Esc_to^^Disabl|Press Esc to^^Disable a key{***}
qstr_DeathCam_Mouse_Sensi|DeathCam Mouse Sensitivity{***}
qstr_OK|OK{***}
qstr_Reset|Reset{***}
qstr_Disable_All|Disable All{***}
qstr_Press_a_key|Press a key{***}
qstr_Plan_Deployment|Plan Deployment{***}
qstr_You_will_have_{reg60|You will have {reg60} troops available at the battle's start{***}
qstr_Troop|Troop{***}
qstr_#_at_start__/_#_in_p|# at start  / # in party{***}
qstr_/_{reg0}|/ {reg0}{***}
qstr_{reg59}|{reg59}{***}
qstr_of_{reg60}_troops|of {reg60} troops{***}
qstr_Ready_Troops|Ready Troops{***}
qstr_Reassess|Reassess{***}
qstr_Scrap_All|Scrap All{***}
qstr_0|0{***}
qstr_Too_many_troops^Chec|Too many troops^Check number available{***}
qstr_Troop_Assignments|Troop Assignments{***}
qstr_Split_Troops_into_Se|Split Troops into Secondary Divisions{***}
qstr_Troops_by^_Primary_D|Troops by^ Primary Division{***}
qstr_#_in^Main_Division|# in^Main Division{***}
qstr_Show/^Hide|Show/^Hide{***}
qstr_#_in^Secondary_Divis|# in^Secondary Division{***}
qstr_Secondary^Division|Secondary^Division{***}
qstr_Disabled|Disabled{***}
qstr_Split_Active|Split Active{***}
qstr_Clear_All|Clear All{***}
qstr_Discard_Changes|Discard Changes{***}
qstr_Save|Save{***}
qstr_0_|0 {***}
qstr_{reg1}/{reg2}_|{reg1}/{reg2} {***}
qstr_Unit_Name|Unit Name{***}
qstr_Unit_Name_Unit_Name_|Unit Name Unit Name Unit Name Unit Name Unit Name{***}
qstr_Desc_1^Desc_2^Desc_3|Desc 1^Desc 2^Desc 3{***}
qstr_Artillery|Artillery{***}
qstr_Buy_price:_{reg1}^We|Buy price: {reg1}^Weekly fee: {reg2}{***}
qstr__________SELECT_ANY_|         SELECT ANY UNIT{***}
qstr_Remain_in_retirement|Remain in retirement.{***}
qstr_Go_back_to_the_adven|Go back to the adventuring.{***}
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.{***}
qstr_Effect_on_Score|Effect on Score{***}
qstr_Settlements_owned_by|Settlements owned by you: {reg0}{***}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}{***}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}{***}
qstr_Friendly_Nobles:_{re|Friendly Nobles: {reg0}{***}
qstr_Enemy_Nobles:_{reg0}|Enemy Nobles: {reg0}{***}
qstr_Victories:_{reg0}|Victories: {reg0}{***}
qstr_Defeats:_{reg0}|Defeats: {reg0}{***}
qstr_Quests_Completed:_{r|Quests Completed: {reg0}{***}
qstr_Companions_Found:_{r|Companions Found: {reg0}{***}
qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}{***}
qstr_Wealth:_{reg0}_piast|Wealth: {reg0} piastres{***}
qstr_Inventory:_{reg0}_pi|Inventory: {reg0} piastres{***}
qstr_Renown:_{reg0}|Renown: {reg0}{***}
qstr_Experience:_{reg0}|Experience: {reg0}{***}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}{***}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%{***}
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}{***}
qstr_Hold_the_Use_key_to_|Hold the Use key to attempt a boarding{***}
qstr_{s10}^{s0}|{s10}^{s0}{***}
qstr_light_breeze|light breeze{***}
qstr_good_wind|good wind{***}
qstr_strong_gale|strong gale{***}
qstr_mighty_storm|mighty storm{***}
qstr_Flagship:_Lala^Ship_|Flagship: Lala^Ship Class: Lulu^^Speed: 20^Ammo: 1000/1000^^Rigging: 1000/1000^Hull: 1000/1000^Crew: 1000/1000{***}
qstr_Selected:_Lala^Ship_|Selected: Lala^Ship Class: Lulu^^Speed: 20^Ammo: 1000/1000^^Rigging: 1000/1000^Hull: 1000/1000^Crew: 1000/1000^^Order: Kuku{***}
qstr_Target:_The_Black_Pe|Target: The Black Pearl^Ship Class: Lulu^^Rigging: 1000/1000^Hull: 1000/1000^Crew: 1000/1000{***}
qstr_Select_a_winner_to_b|Select a winner to bet upon{***}
qstr_Bet:_{reg0}|Bet: {reg0}{***}
qstr_Finish|Finish{***}
qstr_You_don_t_have_enoug|You don't have enough piastres to place this bet.{***}
qstr_The_Rabble|The Rabble{***}
qstr_Make_no_bets|Make no bets{***}
qstr_TESTEANDO_D:_{reg0}|TESTEANDO D: {reg0}{***}
qstr_TESTEANDO_H:_{reg0}|TESTEANDO H: {reg0}{***}
qstr_Bet:_0|Bet: 0{***}
qstr_Select_the_npcs_to_s|Select the npcs to support you{***}
qstr_Suddenly_the_mysteri|Suddenly, the mysterious letters on the pieces of the map all click together!{***}
qstr_Are_the_fragments_yo|Are the fragments you have found from the same map?^You try to fit them together...{***}
qstr_You_revisit_you_coll|You revisit you collection of map fragments.{***}
qstr_Top^Lines|Top^Lines{***}
qstr_Bottom^Lines|Bottom^Lines{***}
qstr_There_are_no_availab|There are no available traits{***}
qstr_{s2}^^Bonus:^{s0}|{s2}^^Bonus:^{s0}{***}
qstr_{s2}^^Requirements:^|{s2}^^Requirements:^{s0}{***}
qstr_{s2}^^Cost:_{reg0}_p|{s2}^^Cost: {reg0} points (free points: {reg1}){***}
qstr_{s2}^^{reg10?You_alr|{s2}^^{reg10?You already have:{s3} already has} this trait.{***}
qstr_{s2}^^{reg10?You_don|{s2}^^{reg10?You don't have:{s3} doesn't have} enough points.{***}
qstr_{s2}^^{reg10?You_mee|{s2}^^{reg10?You meet:{s3} meets} the requirements of this trait.{***}
qstr_{s2}^^{reg10?You_don_|{s2}^^{reg10?You don't meet:{s3} doesn't meet} the requirements of this trait.{***}
qstr_Add_trait|Add trait{***}
qstr_Show:|Show:{***}
qstr_All_traits|All traits{***}
qstr_Available_traits|Available traits{***}
qstr_Acquired_traits|Acquired traits{***}
qstr_WaveSpeed_{reg11}|WaveSpeed {reg11}{***}
qstr_WaveFreq_{reg11}|WaveFreq {reg11}{***}
qstr_gWaveAmp_{reg11}|gWaveAmp {reg11}{***}
qstr_{reg11}_{reg12}_{reg|{reg11} {reg12} {reg13}{***}
qstr_Your_score:_{reg0}|Your score: {reg0}{***}
qstr_Opponent_score:_{reg|Opponent score: {reg0}{***}
qstr_Your_attempt_to_chea|Your attempt to cheat was spotted!{***}
qstr_Pot:_{reg0}_piastres|Pot: {reg0} piastres{***}
qstr_You_win!|You win!{***}
qstr_You_lose!|You lose!{***}
qstr_Push|Push{***}
qstr_Hit|Hit{***}
qstr_Stand|Stand{***}
qstr_Deal|Deal{***}
qstr_Rig_your_hand|Rig your hand{***}
qstr_End_playing|End playing{***}
qstr_Cash|Cash{***}
qstr_Bank|Bank{***}
qstr_General_balance|General balance{***}
qstr_Party|Party{***}
qstr_All_cities|All cities{***}
qstr__{reg1}_per_10_days|-{reg1} per 10 days{***}
qstr_+{reg1}_per_10_days|+{reg1} per 10 days{***}
qstr_{reg1}_per_10_days|{reg1} per 10 days{***}
qstr_Money_on_bank_accoun|Money on bank account{***}
qstr_Party_burn_rate|Party burn rate{***}
qstr__{reg1}_|-{reg1} {***}
qstr_City_balance|City balance{***}
qstr_+{reg1}_|+{reg1} {***}
qstr_{s45}|{s45}{***}
