menu_start_game_0|Select your gender:{***}
menu_kingdom_army_quest_messenger|{s8} sends word that he wishes to speak with you about a task he needs performed.He requests you to rendezvous with him immediately.{***}
menu_kingdom_army_quest_join_siege_order|{s8} sends word that you are to join the siege of {s9} in preparation for a full assault.Your soldiers are to take {s9} at all costs.{***}
menu_kingdom_army_follow_failed|You have failed to follow {s8}. The admiral assumes that you were otherwise engaged, but would have appreciated your support.{***}
menu_invite_player_to_faction_without_center|You receive an invitation to service!^^{s8} of {s9} has sent a messenger to deliver you an offer written in his own hand.You would be granted the honour of becoming a noble of {s9}.In return, {s8} asks you to swear an oath of servitude to him and fight in his military campaigns,although he offers you no lands or titles.He will surely be offended if you do not take the offer...{***}
mno_faction_accept|Accept!{***}
mno_faction_reject|Decline the invitation.{***}
menu_invite_player_to_faction|You receive an invitation to service!^^{s8} of {s9} has sent a messenger to bring you an offer written in his own hand.You would be granted the honour of becoming a noble of {s9}.In return, {s8} asks you to swear an oath of servitude to him and fight in his military campaigns,offering you the settlement of {s2} to govern.He will surely be offended if you do not take the offer...{***}
menu_invite_player_to_faction_accepted|In order to become a noble of the realm, you must swear an oath of servitude to {s3}.You shall have to find him and give him your oath in person. {s5}{***}
menu_question_peace_offer|You receive a peace offer^^{s1} desires to end the war against you. What is your answer?{***}
mno_peace_offer_accept|Accept.{***}
mno_peace_offer_reject|Reject.{***}
menu_notification_truce_expired|Truce has expired^^The truce between the {s1} and the {s2} has expired.{***}
menu_notification_feast_quest_expired|{s10}{***}
menu_notification_sortie_possible|Enemy sighted: Enemies have been spotted near {s4}, and {s5} and others are preparing for a sortie. You may join them if you wish.{***}
menu_notification_casus_belli_expired|Kingdom fails to respond^^The {s1} has ignored the provocations of the {s2}, which does not bode well for {s3}'s reputation among {reg4?her:his} subjects...^{***}
menu_notification_lord_defects|Defection: {s4} has betrayed the {s5} and entered the service of the {s7}, taking along the settlements {reg4?she:he} used to govern.{***}
menu_notification_treason_indictment|Treason indictment^^{s9}{***}
menu_notification_border_incident|Border incident^^You've heard a rumor that {s9}. This incident is likely to provoke the {s4} into military action against the {s3}.{***}
menu_notification_player_faction_active|You now claim a domain in your name, without serving any of the kingdoms. This makes you a monarch in your own right, with your court temporarily located at {s12}. Yet, it takes more than force of arms to be recognized by the established rulers in the Caribbean, and they will surely perceive your as a dangerous upstart.^^At this point, the safest course of action would be to enlist into the service of one of the legitimate rulers. Still, if you want to continue as a sovereign monarch, your first priority should be to establish your legitimacy. There are several ways to increase your authority -- marrying into a high-born family, enlisting new nobles to your service, governing your lands, treating with other rulers, or dispatching your officers on missions.^^Either way, your first step as a ruler should be to appoint a chief minister from among your companions, to handle the day to day affairs of your kingdom. Different companions have different capabilities.^^You may appoint new ministers from time to time. You may also transfer your capital to another town, by speaking to the minister.{***}
mno_appoint_spouse|Appoint your {reg0?wife:husband}, {s10}...{***}
mno_dplmc_appoint_spouse_plus_1|Appoint your {reg0?wife:husband}, {s10}...{***}
mno_appoint_npc1|Appoint {s10}{***}
mno_appoint_npc2|Appoint {s10}{***}
mno_appoint_npc3|Appoint {s10}{***}
mno_appoint_npc4|Appoint {s10}{***}
mno_appoint_npc5|Appoint {s10}{***}
mno_appoint_npc6|Appoint {s10}{***}
mno_appoint_npc7|Appoint {s10}{***}
mno_appoint_npc8|Appoint {s10}{***}
mno_appoint_npc9|Appoint {s10}{***}
mno_appoint_npc10|Appoint {s10}{***}
mno_appoint_npc11|Appoint {s10}{***}
mno_appoint_npc12|Appoint {s10}{***}
mno_appoint_default|Appoint a prominent citizen from the area...{***}
menu_minister_confirm|{s9}can be found at your court in {s12}. You should consult periodically, to avoid the accumulation of unresolved issues that may sap your authority...{***}
menu_notification_court_lost|{s12}{***}
menu_notification_player_faction_deactive|Your kingdom no longer holds any land.{***}
menu_notification_player_wedding_day|{s8} wishes to inform you that preparations for your wedding at {s10} have been complete, and your presence is expected imminently.{***}
menu_notification_player_kingdom_holds_feast|{s11}{***}
menu_notification_center_under_siege|{s1} is besieged by {s2} of the {s3}!{***}
menu_notification_village_raided|A facility has been pillaged!^^{s2} has raided the {s1}, looting its warehouses and burning the entire place to the ground.{***}
menu_notification_village_raid_started|Your facility is under attack!^^{s2} of the {s3} is pillaging {s1}.{***}
menu_notification_one_faction_left|The Caribbean united^^The {s1} has defeated all their rivals in the region and stands as the sole power in the Americas!{***}
menu_notification_oath_renounced_faction_defeated|Your old ruler was defeated!^^You survived your struggle against the {s1}! Thus ends the confrontation you started by renouncing your oath to them.{***}
menu_notification_center_lost|A settlement was overrun by the enemy!^^You have lost {s1} to the {s2}.{***}
menu_notification_troop_left_players_faction|Betrayal!^^{s1} has abandoned the {s2} and entered the service of the {s3}.{***}
menu_notification_troop_joined_players_faction|Good news!^^ {s1} has abandoned the {s2} and entered the service of the {s3}.{***}
menu_notification_war_declared|Declaration of war^^The {s1} has declared war against the {s2}!{***}
menu_notification_peace_declared|Peace agreement^^The {s1} and the {s2} have made peace!^{s57}{***}
menu_notification_faction_defeated|Faction eliminated^^The {s1} has been expelled from the New World!{***}
menu_notification_rebels_switched_to_faction|Rebellion success^^ Your rebellion is victorious! Your faction now has the sole claim to the colonies of the {s11}, with {s12} as the single ruler.{***}
menu_notification_letter_of_marque_not_legit_attack|{s9}{***}
mno_notification_letter_of_marque_not_legit_attack_accept|Relinquish offices.{***}
mno_decline_faction|Raise your flag in rebellion.{***}
mno_decline_neutral|Continue...{***}
menu_notification_player_should_consult|Your minister send words that there are problems brewing in the realm which, if left untreated, could sap your authority. You should consult with him at your earliest convenience.{***}
menu_notification_player_feast_in_progress|Ball in preparation^^Your {wife/husband} has started preparations for a ball in your palace in {s11}.{***}
menu_notification_lady_requests_visit|An elderly woman approaches your company and passes one of your men a letter, sealed in plain wax. It is addressed to you. When you break the seal, you see it is from {s15}. It reads, 'I so enjoyed your last visit. {s14} I am currently in {s10}.{s12}'{***}
mno_notification_lady_requests_visit_continue|Tell the woman to inform her mistress that you will come shortly.{***}
mno_notification_lady_requests_visit_continue1|Tell the woman to inform her mistress that you are indisposed.{***}
menu_illness_warning|{s0} Learned men say some good, healthy food and a few days of comfortable rest can help against the malady. Perhaps, {s1} or {s2} might treat the soldiers better. In any case, a small rest in a pub could do no harm.{***}
menu_illness_end|Thanks to a good rest and some decent food, your soldiers have recovered from {s0}.{***}
menu_notification_about_gold_usage_after_construct|In {s1} {s51}.{***}
menu_notification_about_gold_usage_30_day|In {s1} {s51}.{***}
menu_notification_party_under_siege_with_defence|During the siege, {s2} of the {s3} has lost {s50} in traps.{***}
menu_notification_village_element_leave_service|{s2} of {s1} has resigned from service.{***}
menu_notification_extra_good_ready|On your order, {s2} was completed in {s1}. You may now collect it.{***}
menu_ms_additional_menu|{s0}{***}
mno_ms_add_1|Talk to the {s1}.{***}
mno_ms_add_2|Talk to the {s1}.{***}
mno_ms_add_3|Talk to the {s1}.{***}
mno_ms_add_4|Talk to the {s1}.{***}
mno_ms_add_5|Talk to the {s1}.{***}
mno_ms_add_6|Talk to the {s1}.{***}
mno_ms_add_7|Talk to the {s1}.{***}
mno_ms_add_8|Talk to the {s1}.{***}
mno_ms_add_9|Talk to the {s1}.{***}
mno_ms_back|Return...{***}
menu_ms_additional_school|{s2}{***}
mno_ms_see_npc_list|See the list of officers.{***}
menu_ms_additional_merchant_guild|The merchant guild is not above indulging into the maligned practice of usury. The clerks of the guild are eager both to accept gold for safekeeping and to provide their visitors with a loan - with a modest interest, of course.{***}
mno_ms_guild_deposit|Deposit money for {reg0}% monthly interest.{***}
mno_ms_guild_credit|Take a loan for one month with {reg0}% interest.{***}
mno_ms_guild_deposit_out|Withdraw your deposit of {reg0} piastres.{***}
mno_ms_guild_credit_out|Repay your loan of {reg0} piastres.{***}
menu_ms_guild_get_value|Choose the amount {s0}. The sum currently selected is {reg5} piastres.{***}
mno_ms_guild_500_minus|-500 piastres.{***}
mno_ms_guild_1000_minus|-1000 piastres.{***}
mno_ms_guild_1500_minus|-1500 piastres.{***}
mno_ms_guild_2000_minus|-2000 piastres.{***}
mno_ms_guild_500_plus|+500 piastres.{***}
mno_ms_guild_1000_plus|+1000 piastres.{***}
mno_ms_guild_1500_plus|+1500 piastres.{***}
mno_ms_guild_2000_plus|+2000 piastres.{***}
mno_ms_continue|Finalize the transaction.{***}
menu_ms_guild_get_out|Do you wish to carry out this transaction?{***}
mno_ms_guild_break|Yes.{***}
mno_ms_guild_get_out_back|No.{***}
menu_ms_guild_not_enough_money|You do not have enough money for that!{***}
mno_ms_guild_not_enough_money_back|Return...{***}
menu_ms_credit_fight|You have failed to repay your loan in due time, so the bankers have decided to collect it by force.{***}
mno_ms_credit_fight_continue|Continue...{***}
menu_ms_additional_extra_goods|{s0}{***}
mno_ms_extra_goods_next|Continue...{***}
menu_ms_additional_shipmaster|Here, the shipwright purchases, sells and repairs the ships delivered to the town harbor.{***}
mno_ms_ship_repairing|Continue...{***}
menu_ms_additional_adviser|{s0}{***}
mno_ms_extra_adviser_continue|Continue...{***}
menu_garden|{s12}{***}
mno_nurse|Go with the nurse.{***}
mno_nurse1|Wait by the spring.{***}
menu_kill_local_merchant_begin|You spot your victim and trail him down the streets. Soon, he makes a turn for a dark alley.This is your best opportunity to assault him.{***}
menu_debug_alert_from_s65|DEBUG ALERT: {s65}{***}
menu_auto_return_to_map|stub{***}
menu_bandit_lair|{s3}{***}
mno_bandit_lair_continue_1|Attack the hideout.{***}
mno_leave_no_attack|Leave.{***}
mno_leave_victory|Continue...{***}
mno_leave_defeat|Continue...{***}
menu_notification_player_faction_political_issue_resolved|{s10} has decided to grant {s11} to {s12}.{***}
menu_notification_player_faction_political_issue_resolved_for_player|{s10} has decided to grant {s11} to you. You may refuse, of course, but another such opportunity is unlikely to happen any time soon.{s12}{***}
mno_notification_player_faction_political_issue_resolved_for_player_accept|Accept the honor.{***}
mno_decline|Decline the honor.{***}
menu_start_phase_3|{s16}^^You are exhausted by the time you find the inn in {s1}, and fall asleep quickly. However, you awake before dawn and are eager to explore your surroundings. You venture out onto the streets, which are still deserted. All of a sudden, you hear a sound that stands the hairs of your neck on end -- the rasp of a blade sliding from its scabbard...{***}
menu_start_phase_4|{s11}{***}
menu_lost_tavern_duel|{s11}{***}
menu_establish_court|To establish {s4} as your court will require a small refurbishment. In particular, you will need a set of tools and a bolt of velvet. it may also take a short while for some of your followers to relocate here. Do you wish to proceed?{***}
mno_establish|Establish {s4} as your court.{***}
mno_establish_court_continue|Hold off...{***}
menu_notification_relieved_as_marshal|{s4} wishes to inform you that your services as admiral are no longer required. As a reward for the valiant service over the last {reg4} days, {reg8?she:he} offers you a purse of {reg5} piastres.{***}
menu_dplmc_manage_loot_pool|{s10}{***}
mno_dplmc_auto_loot|Let your officers pick up gear from the items on the ground.{***}
mno_dplmc_auto_loot_no|Insufficient item pool space for auto-upgrade.{***}
mno_dplmc_loot|Access the items on the ground.{***}
mno_dplmc_auto_loot_upgrade_management|Update management of officers' equipment.{***}
mno_dplmc_leave|{s20}{***}
mno_dplmc_leave_and_take_a|Pick up {reg0} of the {reg20} items on the ground and leave.{***}
mno_dplmc_leave_and_take_b|Pick up the remaining {reg20} {reg0?items:item} on the ground and leave.{***}
mno_dplmc_leave_and_take_c|There is no space left in your bags.{***}
menu_dplmc_auto_loot|Your companions will automatically pick up items from the loot pool based on their pre-selected upgrade options. Officers listed first in the company order will have the first pick. Any equipment no longer needed will be dropped back into the loot pool. Any items in the loot pool will be lost when you leave. Are you sure you want to do this?{***}
mno_dplmc_autoloot_no|No, I've changed my mind.{***}
mno_dplmc_autoloot_yes|Yes, perform the upgrading.{***}
menu_dplmc_notification_alliance_declared|Alliance agreement^^{s1} and {s2} have formed an alliance!^{s57}{***}
mno_dplmc_continue|Continue...{***}
menu_dplmc_notification_defensive_declared|Defensive pact^^{s1} and {s2} have agreed to a defensive pact!^{s57}{***}
menu_dplmc_notification_trade_declared|Trade agreement^^{s1} and {s2} have signed a trade agreement!^{s57}{***}
menu_dplmc_notification_nonaggression_declared|Non-aggression treaty^^{s1} and {s2} have concluded a non-aggression treaty!^{s57}{***}
menu_dplmc_question_alliance_offer|You receive an alliance offer^^{s1} wants to make an alliance with your kingdom. What is your answer?{***}
mno_dplmc_alliance_offer_accept|Accept.{***}
mno_dplmc_alliance_offer_reject|Reject.{***}
menu_dplmc_question_defensive_offer|You receive a pact offer^^{s1} offers your kingdom a defensive pact. What is your answer?{***}
mno_dplmc_defensive_offer_accept|Accept.{***}
mno_dplmc_defensive_offer_reject|Reject.{***}
menu_dplmc_question_trade_offer|You receive a trade offer^^{s1} offers your kingdom a trade agreement. What is your answer?{***}
mno_dplmc_trade_offer_accept|Accept.{***}
mno_dplmc_trade_offer_reject|Reject.{***}
menu_dplmc_question_nonaggression_offer|You receive a treaty offer^^{s1} offers your kingdom a non-aggression treaty. What is your answer?{***}
mno_dplmc_nonaggression_offer_accept|Accept.{***}
mno_dplmc_nonaggression_offer_reject|Reject.{***}
menu_dplmc_notification_alliance_expired|Alliance has expired^^The alliance between {s1} and {s2} has expired and was degraded to a defensive pact.{***}
menu_dplmc_notification_defensive_expired|Defensive pact has expired^^The defensive pact between {s1} and {s2} has expired and was degraded to a trade agreement.{***}
menu_dplmc_notification_trade_expired|Trade agreement has expired^^The trade agreement between {s1} and {s2} has expired and was degraded to a non-aggression treaty.{***}
menu_dplmc_dictate_terms|Dictate your peace terms.{***}
mno_dplmc_demand_4000|Demand 4000 piastres.{***}
mno_dplmc_demand_8000|Demand 8000 piastres.{***}
mno_dplmc_demand_castle|Demand {s2}.{***}
mno_dplmc_go_back|Go back.{***}
menu_dplmc_deny_terms|{s1} refuses your terms and is breaking off negotiations.{***}
menu_dplmc_village_riot_result|{s9}{***}
menu_dplmc_village_riot_removed|After a bloody battle, you and your men slaughter the rebels and regain control over the village. Unfortunately, little is left for you to control.{***}
menu_dplmc_town_riot_removed|After a bloody battle, you and your men slaughter the rebels and regain control over the town.{***}
menu_dplmc_riot_negotiate|You approach the angry crowd and begin negotiations. The leader of the riot demands {reg0} piastres. He agrees to lay down arms if you are willing to pay.{***}
mno_dplmc_pay_riot_treasury|Induce your chamberlain to pay the money from the treasury.{***}
mno_dplmc_pay_riot_cash|Pay cash.{***}
mno_dplmc_back|Back...{***}
menu_dplmc_notification_riot|The peasants of {s1} launched a riot against you! In a treacherous assault, the men loyal to you have been all slain. The remainder joined the angry crowd.{***}
menu_dplmc_notification_appoint_chamberlain|As a governor of a settlement, you can now appoint a chamberlain who resides at your court for a weekly salary of 15 piastres. He will handle all financial affairs like determining and collecting taxes, paying wages and managing your estate. In addition, he supervises money transfers between the kingdoms, giving you more diplomatic options.{***}
mno_dplmc_appoint_default|Appoint a prominent local landowner.{***}
mno_dplmc_notification_appoint_chamberlain_continue|Proceed without chamberlain.{***}
menu_dplmc_chamberlain_confirm|Your chamberlain can be found at your court. You should consult him if you want to give him any financial advice or you need greater amounts of money. You should always make sure that there is enough money in the treasury to pay for political affairs.{***}
menu_dplmc_notification_appoint_constable|As a governor of a settlement, you can now appoint a constable who resides at you court for a weekly salary of 15 piastres. He will recruit new troops and provide information about your army.{***}
mno_dplmc_notification_appoint_constable_continue|Proceed without constable.{***}
menu_dplmc_constable_confirm|Your constable can be found at your court. You should consult him if you want to recruit new troops or get detailed information about your standing army.{***}
menu_dplmc_notification_appoint_chancellor|As a governor of a settlement, you can now appoint a chancellor who resides at you court for a weekly salary of 20 piastres. He will be the keeper of your seal and conduct the correspondence between you and other important persons.{***}
mno_dplmc_notification_appoint_chancellor_continue|Proceed without chancellor.{***}
menu_dplmc_chancellor_confirm|Your chancellor can be found at your court. You should consult him if you want to send messages or gifts.{***}
menu_dplmc_deserters|Some of your soldiers don't believe that you will pay their wages, and desert. Overall, you lose {s11} men.{***}
menu_dplmc_negotiate_besieger|You appear with a white flag at the top of the wall. After a while, a negotiator of {s11} approaches you. He demands {s6} and all associated villages as well as {reg0} piastres for safe conduct.{***}
mno_dplmc_comply_treasury|Comply and induce your chamberlain to pay the money from the treasury.{***}
mno_dplmc_comply|Comply and pay the money in cash.{***}
mno_dplmc_break_off|Break off negotiations.{***}
menu_dplmc_messenger|Sir, I found {s10} and delivered your message. His answer was {s11}.{***}
menu_dplmc_scout|Your spy returned from {s10}^^{s11}{s12}{***}
menu_dplmc_domestic_policy|You can now shape the domestic policy of your kingdom. Do you want to change your policy now?{***}
mno_dplmc_yes|Yes, I want to change the domestic policy.{***}
mno_dplmc_no|No, I don't want to change the domestic policy.{***}
menu_dplmc_preferences|Additional Mod Preferences{s0}{***}
mno_dplmc_disable_terrain_advantage|Disable terrain advantage in Autocalc battles (currently this feature is Enabled).{***}
mno_dplmc_enable_terrain_advantage|Enable terrain advantage in Autocalc battles (currently this feature is Disabled).{***}
mno_dplmc_toggle_lord_recycling_a|Enable lords returning from exile (currently disabled){***}
mno_dplmc_toggle_lord_recycling_b|Disable lords returning from exile (currently enabled){***}
mno_dplmc_toggle_lord_recycling_reset|You used a saved game from another mod: g dplmc lord recycling = {reg0} (click to reset){***}
mno_dplmc_toggle_ai_changes_a|Enable AI changes (currently disabled){***}
mno_dplmc_toggle_ai_changes_b|Increase AI changes (currently low){***}
mno_dplmc_toggle_ai_changes_c|Increase AI changes (currently medium){***}
mno_dplmc_toggle_ai_changes_d|Disable AI changes (currently high/experimental){***}
mno_dplmc_reset_lord_recycling|You used a saved game from another mod: g dplmc ai changes = {reg0} (click to reset){***}
mno_dplmc_toggle_gold_changes_a|Set economic & behavioral changes to low (current mode: disabled){***}
mno_dplmc_toggle_gold_changes_b|Set economic & behavioral changes to medium (current mode: low){***}
mno_dplmc_toggle_gold_changes_c|Set economic & behavioral changes to high/experimental (current mode: medium){***}
mno_dplmc_toggle_gold_changes_d|Disable economic & behavioral changes (current mode: high/experimental){***}
mno_dplmc_reset_gold_changes|You used a saved game from another mod: g dplmc gold changes = {reg0} (click to reset){***}
mno_dplmc_switch_woman_prejudice_1|Change prejudice level (current level is default){***}
mno_dplmc_switch_woman_prejudice_2|Change prejudice level (current level is off){***}
mno_dplmc_switch_woman_prejudice_3|Change prejudice level (current level is high){***}
menu_dplmc_affiliated_family_report|{s0}{***}
mno_lord_relations|View the list of all known nobles by relation.{***}
menu_dplmc_lord_relations_2|{s1}{***}
menu_dplmc_start_select_prejudice|In the XVII century, the males of noble descent were still dominating war and politics. Because of this, a female character can face some prejudice at the start of her career, and some opportunities open to men will not be available (however, a woman will also have some opportunities a man will not). Some players might find this distasteful, so if you want, you can ignore that aspect of history.^^You can later change your mind through the options in the Camp menu.{***}
mno_dplmc_start_prejudice_yes|I do not mind historical prejudice.{***}
mno_dplmc_start_prejudice_no|I would prefer not to encounter historical prejudice.{***}
menu_ms_additional_officer|Here, the garrison commander trains the troops and manages recruits and mercenaries visiting the town.{***}
mno_ms_additional_officer_next|Enter the barracks.{***}
menu_oim_caravan_delivered|All the goods sent with the caravan have been sold. After writing off the expenses, you end up with a profit of {reg1} piastres.{***}
menu_notification_simple_str|{s2}{***}
menu_notification_tax_collected|{s2}{***}
menu_banks_report|{s2}{***}
menu_notification_about_gold_usage_7_day|In {s1} {s51}.{***}
menu_podkup_neg|Your messenger failed to convince the defenders. He is now hanging from the wall by his neck, causing dismay in your company.{***}
mno_Back_2|Continue...{***}
menu_podkup_ataka|Begin the assault.{***}
mno_Cont|Continue...{***}
menu_udral_otravil|You successfully poisoned the water source of the town.{***}
mno_Cont1|Continue...{***}
menu_vzvesili|You were caught during your attempt. Now, your body adorns the wall of the town.{***}
mno_Cont2|Aaaargh!{***}
menu_udral_neotravil|The enemies spotted you before you were able to poison the well. Fortunately, you managed to slip away...{***}
mno_Cont3|Continue...{***}
menu_neudral_otravil|The enemies spotted you after you poisoned the well successfully. You'll have to fight your way out of town now.{***}
mno_Cont4|Continue...{***}
menu_neudral_neotravil|The enemies spotted you before you were able to poison the well. You'll have to fight your way out of town now.{***}
menu_sneak_into_town_caught_dispersed_guards_t|You've killed your pursuers and escaped the town!{***}
menu_sneak_into_town_caught_ran_away_t|Making your way through the streets, you eluded your pursuers and escaped the town.{***}
menu_vorvatsya_uspeh|You managed to break into the town. Now, you must destroy {reg0} percents of the defenders before they have reinforcements.{***}
menu_vorvatsya_proval|The enemies spotted your detachment and slaughtered it to the last man. Having lost {s50} troops, your army suffers a loss of morale.{***}
menu_podkop_uspih|With the skills you possess, it would take you {reg4} hours to dig a tunnel suitable for setting a mine.{***}
mno_build_podkop_min|Begin digging.{***}
mno_podkop_uspih_go_back|Consider other options.{***}
menu_podkop_neg|Your knowledge of engineering is obviously lacking. The tunnel you were digging had caved in, costing you 24 hours of work.{***}
mno_podkop_neg_go_back|Consider other options.{***}
menu_podkop_uspih_walls|The walls of this town are too strong to blow up with a mine.{***}
mno_podkop_uspih_walls_go_back|Consider other options.{***}
menu_podkop_uspih_uspih|Part of the town wall was destroyed by the mine!{***}
mno_go_next|Begin the assault.{***}
menu_podkop_uspih_neg|The mine had exploded, yet the wall still defies you.{***}
mno_podkop_uspih_neg_go_back|Consider other options.{***}
menu_oim_last_game_menu|{s2}{***}
menu_charge_with_bunt|A plummeting morale resulted in a mutiny among your soldiers{reg0?{s2}:.} You'll have to fight the treacherous scum now.{***}
mno_charge_with_bunt_continue_bunt|Continue...{***}
menu_oim_simle_ship_battle|Your fleet: ^{s41}. ^Enemy fleet: ^{s40} ^Current distance: {s42} ^Your orders:{***}
mno_hold_distance|Hold distance.{***}
mno_make_distance_closer|{s2}{***}
mno_increase_distance|Try to avoid the enemy fleet.{***}
menu_oim_simle_ship_battle_select_projectile|What kind of ammunition to load?{***}
mno_load_cannon_ball|Load with cannonballs.{***}
mno_load_knippel|Load with chainshot.{***}
mno_load_shrapnel|Load with grapeshot.{***}
menu_oim_simle_ship_battle_show_results|{s10} ^{s2} ^{reg10?^^Allied fleet damage: ^{s31} ^^^Enemy fleet damage: ^{s32}: }{***}
mno_do_next_turn|Continue...{***}
menu_oim_simle_ship_battle_escape|Not ready yet{***}
mno_continue_bunt|Continue...{***}
menu_oim_ai_chooses_boarding|The enemy has elected to board your vessel. You decide ...{***}
mno_oim_ai_chooses_boarding_continue_1|Command your boarding crew from the stern.{***}
mno_oim_ai_chooses_boarding_continue_2|Command your boarding crew from the bow.{***}
mno_oim_ai_chooses_boarding_continue_3|Lead your boarding crew in the thick of an action.{***}
menu_oim_simle_ship_battle_boarding|You were able to board an enemy ship. You decide ...{***}
mno_oim_simle_ship_battle_boarding_continue_1|Command your boarding crew from the stern.{***}
mno_oim_simle_ship_battle_boarding_continue_2|Command your boarding crew from the bow.{***}
mno_oim_simle_ship_battle_boarding_continue_3|Lead your boarding crew in the thick of an action.{***}
menu_oim_simle_ship_battle_boarding_distance|There are {reg10} swivel guns aboard your ship, while the enemy vessel seems to have up to {reg11}. You consider this and decide to...{***}
menu_oim_simle_ship_win|You win the battle.{***}
menu_oim_simle_ship_lost|You lost the battle.{***}
menu_meeting_with_thieves|{s1}{***}
menu_oim_rich_visitor_meal|You have paid 25 piastres for a good meal, now you plan to rest for a while.{***}
mno_start_resting|Start resting.{***}
menu_oim_drunken_prison|As you grasp for your weapon, the guards subdue you, then drag you to prison...{***}
menu_oim_rich_visitor|{s2}{***}
mno_attack|Follow the townsman.{***}
menu_oim_rich_visitor_result|{s2}{***}
menu_oim_ship_simple_encounter|{s2} You have {reg10} {reg12?ships:ship} ready for battle against {reg11} of the enemy. ^There is a {s4} blowing from the {s3}.{***}
mno_oim_ship_simple_encounter_encounter_attack|Engage them!{***}
mno_smugglers_escape|Attempt an escape.{***}
mno_smugglers_board|Permit them to board.{***}
mno_talk_sea_lord|Negotiate.{***}
menu_oim_simple_ship_presentation|Not ready yet.{***}
menu_oim_mercenaries_eq_presentation|Not ready yet.{***}
menu_podkop_no_powder|You have no gunpowder! There is no way to blow up the wall without it.{***}
menu_simple_string_money_report|{s53}{***}
menu_town_cheats|Do whatever you want.{***}
mno_summon_drunk|{reg10?Dismiss:Get} a drunkard.{***}
mno_summon_ass|{reg11?Scare away:Hire} an assassin.{***}
mno_summon_bandit|{reg12?Kick out:Get ambushed by} some bandits.{***}
menu_oim_view_towns|View towns.{***}
mno_oim_view_towns_oim_cheatss|DEBUG: Edit scene scn spain koro center{***}
mno_oim_view_towns_oim_cheatss1|DEBUG: Edit scene scn spain kampeche center{***}
mno_oim_view_towns_oim_cheatss2|DEBUG: Edit scene scn spain santodomingo center{***}
mno_oim_view_towns_oim_cheatss3|DEBUG: Edit scene scn spain kumana center{***}
mno_oim_view_towns_oim_cheatss4|DEBUG: Edit scene scn spain havana center{***}
mno_oim_view_towns_oim_cheatss5|DEBUG: Edit scene scn spain portobelo center{***}
mno_oim_view_towns_oim_cheatss6|DEBUG: Edit scene scn spain sanhuan center{***}
mno_oim_view_towns_oim_cheatss7|DEBUG: Edit scene scn spain kartahena center{***}
mno_oim_view_towns_oim_cheatss8|DEBUG: Edit scene pir portroyal center{***}
mno_oim_leave|Back{***}
menu_oim_view_events|View towns{***}
mno_oim_view_events_leave|Do test run.{***}
mno_oim_view_events_leave1|Back.{***}
menu_oim_event_triggered|{s10}{***}
mno_oim_event_answer_1|{s11}{***}
mno_oim_event_answer_2|{s11}{***}
mno_oim_event_answer_3|{s11}{***}
mno_oim_event_answer_4|{s11}{***}
menu_contine_sea_battle|You succeed in the boarding action. {reg12?There were {reg12} more sailors lost than originally thought. :}{reg13?{reg13} were saved by surgery. :}{reg14?{reg14} were saved by the infirmary. :}{reg10?In all, {reg10} sailors from your ship's complement perished during the battle. :}^^{s3}{s2} was {reg11?scuttled by her crew.:captured by your boarding team!}{***}
mno_capture_ship_as_usual_ship|Add the captured vessel to your fleet.{***}
mno_capture_ship_as_flagman|Make the captured vessel your flagship.{***}
mno_capture_ship_flood|Make it your flagship and scuttle your own.{***}
mno_capture_ship_flood1|Scuttle the captured vessel.{***}
mno_continue_battle|Continue.{***}
menu_select_ship_to_scuttle|You need to abandon one of your ships in order to make space for the captured vessel.{***}
mno_select_ship_to_scuttle_continue_1|Scuttle your flagship and transfer your flag to the captured vessel.{***}
mno_select_ship_to_scuttle_continue_2|{s3}.{***}
mno_select_ship_to_scuttle_continue_21|{s3}.{***}
mno_select_ship_to_scuttle_continue_22|{s3}.{***}
mno_select_ship_to_scuttle_continue_23|{s3}.{***}
mno_select_ship_to_scuttle_continue_24|{s3}.{***}
mno_select_ship_to_scuttle_continue_25|Consider other options.{***}
menu_sea_battle_retreated|You retreated from the naval engagement. Your crew is disappointed, accusing you of cowardice in hushed tones.{***}
menu_oim_flagman_lost|{s3}^{s2}{***}
mno_oim_flagman_lost_continue|Resume battle...{***}
mno_oim_flagman_lost_continue1|Surrender.{***}
menu_captivity_end_wilderness_escape_at_sea|{s2}{***}
menu_do_sea_fort_assault_confirm|This city can be attacked from the sea. If successful, your troops will be able to land immediately at the port..{***}
menu_refresh_party_window|DO NOT SHOW{***}
menu_igromir_prsnt|This is sea battle to control ship use WSAD, to fire press 'space' or right click on the ship's icon{***}
menu_igromir_prsnt_exit|This is sea battle to control ship use WSAD, to fire press 'space' or right click on the ship's icon{***}
menu_test_perks_menu|{s2}{***}
mno_perv_perk|Prev trait: {s0}{***}
mno_next_perk|Next trait: {s0}{***}
mno_add_perk|Add {s0} trait{***}
mno_exit_menu|Exit test menu{***}
menu_special_ship_victory|Acknowledging your obvious superiority, the enemy surrenders. {reg21?You have captured {s20}:You had to scuttle the enemy ships.}{***}
menu_universal_passage_menu|Acknowledging your obvious superiority, the enemy surrenders.{***}
mno_walk_the_streets|Take a walk around the streets...{***}
mno_entern_tavern|Enter town tavern...{***}
mno_enter_court|Door to the court{***}
mno_enter_storage|Door to the storage{***}
menu_perks_cheats|Perk test system cheats{***}
